SampleNumber,Compound,Sample Text,Type,Std. Conc,RT,Area,IS Area,S/N,Response,Conc_micromolar,%Rec,Detection Flags,Threshold
2668,Linezolid,Sample_1359,Analyte,NA,NA,NA,24028.426,NA,NA,NA,NA,,1969.762
2669,Linezolid,Sample_7139,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,1969.762
2670,Linezolid,Sample_4516,Analyte,NA,3.52,0.615,25162.109,1.538,0,0.0119,NA,bb,1969.762
2671,Linezolid,Sample_6084,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,1969.762
2672,Linezolid,Sample_3550,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,1969.762
2673,Linezolid,Sample_4493,Analyte,NA,NA,NA,6917.139,NA,NA,NA,NA,MM-,1969.762
2674,Linezolid,Sample_6041,Analyte,NA,NA,NA,18345.035,NA,NA,NA,NA,,1969.762
2675,Linezolid,Sample_11159,Analyte,NA,NA,NA,5774.952,NA,NA,NA,NA,,1969.762
2676,Linezolid,WaterBlank20,Blank,NA,3.28,20,NA,3.299,NA,NA,NA,bb,1969.762
2677,Linezolid,WaterBlank21,Blank,NA,3.16,20,4.994,12.504,0.767,1.7803,NA,bb,1969.762
2678,Linezolid,Sample_10332,Analyte,NA,NA,NA,6679.447,NA,NA,NA,NA,,1969.762
2679,Linezolid,Sample_11136,Analyte,NA,NA,NA,5620.551,NA,NA,NA,NA,MM-,1969.762
2680,Linezolid,Sample_1361,Analyte,NA,NA,NA,7572.947,NA,NA,NA,NA,,1969.762
2681,Linezolid,Sample_2135,Analyte,NA,3.36,1.076,16255.679,2.415,0,0.012,NA,bb,1969.762
2682,Linezolid,Sample_5305,Analyte,NA,NA,NA,9224.175,NA,NA,NA,NA,,1969.762
2683,Linezolid,WaterBlank22,Blank,NA,3.4,20,52.794,2.218,0.055,0.1389,NA,bb,1969.762
2684,Linezolid,QC2_10uMPOOL,Analyte,NA,3.3,258748.656,279.116,151827.456,927.029,2137.1646,NA,bb,1969.762
2685,Linezolid,WaterBlank23,Blank,NA,3.26,178.344,7.293,138.902,24.454,56.3878,NA,bb,1969.762
2686,Linezolid,WaterBlank24,Blank,NA,3.28,21.869,12.049,7.19,1.815,4.1961,NA,bb,1969.762
2687,Linezolid,WaterBlank25,Blank,NA,3.28,20,NA,11.525,NA,NA,NA,bb,1969.762
2688,Linezolid,Sample_2159,Analyte,NA,3.32,1.105,8406.723,1.714,0,0.0121,NA,bb,1969.762
2689,Linezolid,Sample_4491,Analyte,NA,3.48,2.381,2258.735,1.33,0.001,0.0142,NA,bb,1969.762
2690,Linezolid,Sample_3574,Analyte,NA,NA,NA,13460.634,NA,NA,NA,NA,,1969.762
2691,Linezolid,Sample_1158,Analyte,NA,NA,NA,5500.952,NA,NA,NA,NA,,1969.762
2692,Linezolid,Sample_3333,Analyte,NA,NA,NA,8018.576,NA,NA,NA,NA,,1969.762
2693,Linezolid,Sample_8180,Analyte,NA,3.38,0.567,6001.404,0.866,0,0.012,NA,bb,1969.762
2694,Linezolid,Sample_10357,Analyte,NA,3.4,1.327,6965.836,3.314,0,0.0122,NA,bb,1969.762
2695,Linezolid,Sample_11140,Analyte,NA,NA,NA,8589.123,NA,NA,NA,NA,,1969.762
2696,Linezolid,Sample_11134,Analyte,NA,NA,NA,7708.728,NA,NA,NA,NA,,1969.762
2697,Linezolid,Sample_5304,Analyte,NA,NA,NA,13001.203,NA,NA,NA,NA,,1969.762
2698,Linezolid,WaterBlank26,Blank,NA,3.52,20,19.208,3.747,0.1,0.2414,NA,bb,1969.762
2699,Linezolid,WaterBlank27,Blank,NA,NA,20,15.532,NA,NA,NA,NA,MM-,1969.762
2700,Linezolid,Sample_8185,Analyte,NA,3.48,1.215,5641.424,1.596,0,0.0123,NA,bb,1969.762
2701,Linezolid,Sample_11158,Analyte,NA,NA,NA,9208.179,NA,NA,NA,NA,,1969.762
2702,Linezolid,Sample_10288,Analyte,NA,3.38,0.088,6002.27,0.129,0,0.0118,NA,bb,1969.762
2703,Linezolid,Sample_1034,Analyte,NA,3.46,0.228,9347.354,1.01,0,0.0119,NA,bb,1969.762
2704,Linezolid,Sample_6284,Analyte,NA,3.32,0.654,19347.334,1.993,0,0.0119,NA,bb,1969.762
2705,Linezolid,Sample_2139,Analyte,NA,3.18,0.562,11053.966,1.138,0,0.0119,NA,bb,1969.762
2706,Linezolid,Sample_1159,Analyte,NA,3.22,0.119,10992.384,0.959,0,0.0118,NA,bb,1969.762
2707,Linezolid,Sample_3336,Analyte,NA,3.2,0.876,22899.787,0.835,0,0.0119,NA,bb,1969.762
2708,Linezolid,Sample_1160,Analyte,NA,NA,NA,39.85,NA,NA,NA,NA,,1969.762
2709,Linezolid,Sample_1362,Analyte,NA,3.38,0.251,NA,1.393,NA,NA,NA,bb,1969.762
2710,Linezolid,WaterBlank28,Blank,NA,3.34,20,0.978,1.376,0.566,1.3177,NA,bb,1969.762
2711,Linezolid,WaterBlank29,Blank,NA,NA,20,0.693,NA,NA,NA,NA,,1969.762
2712,Linezolid,Sample_5330,Analyte,NA,NA,NA,14161.272,NA,NA,NA,NA,,1969.762
2713,Linezolid,Sample_8186,Analyte,NA,NA,NA,14209.328,NA,NA,NA,NA,,1969.762
2714,Linezolid,Sample_3572,Analyte,NA,3.46,1.751,12733.004,1.734,0,0.0121,NA,bb,1969.762
2715,Linezolid,Sample_10283,Analyte,NA,3.44,0.41,4720.641,1.317,0,0.012,NA,bb,1969.762
2716,Linezolid,Sample_5331,Analyte,NA,NA,NA,10347.036,NA,NA,NA,NA,,1969.762
2717,Linezolid,Sample_1038,Analyte,NA,3.38,2.735,9987.392,2.756,0,0.0124,NA,bb,1969.762
2718,Linezolid,Sample_4496,Analyte,NA,NA,NA,2409.671,NA,NA,NA,NA,,1969.762
2719,Linezolid,Sample_3551,Analyte,NA,3.44,0.542,11377.498,0.944,0,0.0119,NA,bb,1969.762
2720,Linezolid,Sample_10356,Analyte,NA,3.38,0.281,7710.503,0.507,0,0.0119,NA,bb,1969.762
2721,Linezolid,Sample_3549,Analyte,NA,3.44,0.905,9037.142,1.875,0,0.012,NA,bb,1969.762
2722,Linezolid,WaterBlank30,Blank,NA,3.26,20,97.763,1.554,0.013,0.0418,NA,bb,1969.762
2723,Linezolid,WaterBlank31,Blank,NA,3.3,20,NA,1.09,NA,NA,NA,bb,1969.762
2724,Linezolid,Sample_9267,Analyte,NA,NA,NA,7793.54,NA,NA,NA,NA,,1969.762
2725,Linezolid,Sample_6282,Analyte,NA,NA,NA,10031.548,NA,NA,NA,NA,,1969.762
2726,Linezolid,Sample_1161,Analyte,NA,3.4,1.451,4169.207,3.867,0,0.0126,NA,bb,1969.762
2727,Linezolid,Sample_4490,Analyte,NA,3.34,1.994,3336.823,6.04,0.001,0.0132,NA,MM,1969.762
2728,Linezolid,Sample_1054,Analyte,NA,3.34,6.019,4390.102,18.099,0.001,0.015,NA,MM,1969.762
2729,Linezolid,Sample_11162,Analyte,NA,NA,NA,4522.854,NA,NA,NA,NA,MM-,1969.762
2730,Linezolid,Sample_3113,Analyte,NA,NA,NA,5186.127,NA,NA,NA,NA,,1969.762
2731,Linezolid,Sample_2155,Analyte,NA,NA,NA,2298.661,NA,NA,NA,NA,,1969.762
2732,Linezolid,Sample_6043,Analyte,NA,3.38,2.886,12310.678,3.524,0,0.0123,NA,bb,1969.762
2733,Linezolid,Sample_1140,Analyte,NA,3.38,0.673,3908.39,1.202,0,0.0122,NA,bb,1969.762
2734,Linezolid,WaterBlank32,Blank,NA,3.34,20,72.502,2.563,0.014,0.0433,NA,bb,1969.762
2735,Linezolid,WaterBlank33,Blank,NA,3.2,20,5.634,0.577,0.024,0.0683,NA,bb,1969.762
2736,Linezolid,Sample_3136,Analyte,NA,3.42,0.956,4366.039,2.086,0,0.0123,NA,bb,1969.762
2737,Linezolid,Sample_3570,Analyte,NA,3.42,1.19,3486.9,1.234,0,0.0126,NA,bb,1969.762
2738,Linezolid,Sample_5325,Analyte,NA,3.44,0.656,1693.815,1.225,0,0.0127,NA,bb,1969.762
2739,Linezolid,Sample_8162,Analyte,NA,3.5,0.167,2797.99,0.78,0,0.0119,NA,bb,1969.762
2740,Linezolid,WaterBlank34,Blank,NA,3.18,20,106.446,1.902,0.007,0.0274,NA,bb,1969.762
2741,Linezolid,QC3_10uMPOOL,Analyte,NA,3.28,98999.266,104.201,600.891,950.08,2190.3052,NA,bb,1969.762
2742,Linezolid,WaterBlank35,Blank,NA,3.24,383.902,4.828,36.098,79.516,183.3257,NA,bb,1969.762
2743,Linezolid,WaterBlank36,Blank,NA,3.34,28.048,1.615,8.723,17.367,40.0497,NA,bb,1969.762
2744,Linezolid,Sample_2140,Analyte,NA,NA,NA,1791.437,NA,NA,NA,NA,,1969.762
2745,Linezolid,Sample_8187,Analyte,NA,NA,NA,2400.082,NA,NA,NA,NA,,1969.762
2746,Linezolid,Sample_6250,Analyte,NA,NA,NA,2595.938,NA,NA,NA,NA,,1969.762
2747,Linezolid,Sample_9294,Analyte,NA,NA,NA,4078.566,NA,NA,NA,NA,MM-,1969.762
2748,Linezolid,Sample_4515,Analyte,NA,NA,NA,1467.762,NA,NA,NA,NA,,1969.762
2749,Linezolid,Sample_2138,Analyte,NA,3.26,0.149,2022.454,0.707,0,0.012,NA,bb,1969.762
2750,Linezolid,Sample_10355,Analyte,NA,NA,NA,2848.279,NA,NA,NA,NA,,1969.762
2751,Linezolid,Sample_6285,Analyte,NA,3.34,0.481,2003.637,1.364,0,0.0124,NA,bb,1969.762
2752,Linezolid,Sample_4494,Analyte,NA,3.16,6.054,1267.517,3.533,0.005,0.0228,NA,bb,1969.762
2753,Linezolid,Sample_3332,Analyte,NA,3.18,0.106,3519.991,0.243,0,0.0119,NA,bb,1969.762
2754,Linezolid,WaterBlank37,Blank,NA,NA,20,116.124,NA,NA,NA,NA,,1969.762
2755,Linezolid,WaterBlank38,Blank,NA,NA,20,1.7,NA,NA,NA,NA,,1969.762
2756,Linezolid,Sample_3138,Analyte,NA,3.22,1.064,4051.128,1.113,0,0.0124,NA,bb,1969.762
2757,Linezolid,Sample_6247,Analyte,NA,NA,NA,4367.067,NA,NA,NA,NA,MM-,1969.762
2758,Linezolid,Sample_7159,Analyte,NA,3.34,12.215,5134.046,5.361,0.002,0.0173,NA,bb,1969.762
2759,Linezolid,Sample_10286,Analyte,NA,NA,NA,4535.584,NA,NA,NA,NA,,1969.762
2760,Linezolid,Sample_2156,Analyte,NA,NA,NA,1842.989,NA,NA,NA,NA,,1969.762
2761,Linezolid,Sample_4513,Analyte,NA,NA,NA,6112.581,NA,NA,NA,NA,,1969.762
2762,Linezolid,Sample_6040,Analyte,NA,NA,NA,10632.158,NA,NA,NA,NA,,1969.762
2763,Linezolid,Sample_8182,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,1969.762
2764,Linezolid,Sample_6038,Analyte,NA,NA,NA,1656.887,NA,NA,NA,NA,,1969.762
2765,Linezolid,Sample_1310,Analyte,NA,NA,NA,2962.841,NA,NA,NA,NA,,1969.762
2766,Linezolid,WaterBlank39,Blank,NA,3.3,20,43.7,1.106,0.015,0.0464,NA,bb,1969.762
2767,Linezolid,WaterBlank40,Blank,NA,3.24,20,1.334,1.205,0.732,1.6985,NA,bb,1969.762
2768,Linezolid,Sample_2158,Analyte,NA,NA,NA,2892.34,NA,NA,NA,NA,,1969.762
2769,Linezolid,Sample_7141,Analyte,NA,NA,NA,1142.203,NA,NA,NA,NA,,1969.762
2770,Linezolid,Sample_5303,Analyte,NA,NA,NA,2736.226,NA,NA,NA,NA,,1969.762
2771,Linezolid,Sample_3575,Analyte,NA,NA,NA,2910.666,NA,NA,NA,NA,,1969.762
2772,Linezolid,Sample_3111,Analyte,NA,3.42,3.754,2171.744,2.417,0.002,0.0158,NA,bb,1969.762
2773,Linezolid,Sample_9292,Analyte,NA,3.28,0.489,3009.373,1.469,0,0.0122,NA,bb,1969.762
2774,Linezolid,Sample_6286,Analyte,NA,NA,NA,2903.399,NA,NA,NA,NA,,1969.762
2775,Linezolid,Sample_8158,Analyte,NA,3.42,0.387,3128.243,0.919,0,0.0121,NA,bb,1969.762
2776,Linezolid,Sample_1137,Analyte,NA,3.26,0.214,1088.82,0.759,0,0.0123,NA,bb,1969.762
2777,Linezolid,Sample_5327,Analyte,NA,3.32,1.622,1655.675,2.726,0.001,0.0141,NA,bb,1969.762
2778,Linezolid,WaterBlank41,Blank,NA,NA,20,147.181,NA,NA,NA,NA,,1969.762
2779,Linezolid,WaterBlank42,Blank,NA,NA,20,NA,NA,NA,NA,NA,,1969.762
2780,Linezolid,Sample_6287,Analyte,NA,NA,NA,7607.327,NA,NA,NA,NA,,1969.762
2781,Linezolid,Sample_10287,Analyte,NA,3.4,0.43,4524.089,1.334,0,0.012,NA,bb,1969.762
2782,Linezolid,Sample_1138,Analyte,NA,3.44,1.109,3895.5,1.103,0,0.0125,NA,bb,1969.762
2783,Linezolid,Sample_11137,Analyte,NA,NA,NA,2479.804,NA,NA,NA,NA,,1969.762
2784,Linezolid,Sample_1141,Analyte,NA,3.36,4.078,2283.411,16.517,0.002,0.0159,NA,MM,1969.762
2785,Linezolid,Sample_5307,Analyte,NA,3.46,0.449,4349.041,1.138,0,0.012,NA,bb,1969.762
2786,Linezolid,Sample_8161,Analyte,NA,3.28,2.801,5935.025,3.532,0,0.0129,NA,MM,1969.762
2787,Linezolid,Sample_6249,Analyte,NA,NA,NA,9456.295,NA,NA,NA,NA,MM-,1969.762
2788,Linezolid,Sample_9295,Analyte,NA,NA,NA,10414.904,NA,NA,NA,NA,,1969.762
2789,Linezolid,Sample_3547,Analyte,NA,NA,NA,5810.908,NA,NA,NA,NA,,1969.762
2790,Linezolid,WaterBlank43,Blank,NA,NA,20,115.329,NA,NA,NA,NA,,1969.762
2791,Linezolid,WaterBlank44,Blank,NA,3.28,20,8.869,2.017,0.058,0.1449,NA,bb,1969.762
2792,Linezolid,Sample_6085,Analyte,NA,NA,NA,8423.236,NA,NA,NA,NA,,1969.762
2793,Linezolid,Sample_10309,Analyte,NA,3.3,2.267,7621.669,2.104,0,0.0125,NA,bb,1969.762
2794,Linezolid,Sample_2154,Analyte,NA,3.32,0.453,5319.636,0.91,0,0.012,NA,bb,1969.762
2795,Linezolid,Sample_4492,Analyte,NA,3.3,0.387,3947.424,0.854,0,0.012,NA,bb,1969.762
2796,Linezolid,Sample_1036,Analyte,NA,3.26,0.583,9062.786,1.883,0,0.012,NA,bb,1969.762
2797,Meropenem,WaterBlank1,Blank,NA,NA,20,4.296,NA,NA,NA,NA,,10
2798,Meropenem,WaterBlank2,Blank,NA,2.46,20,11.934,2.516,NA,NA,NA,bb,10
2799,Meropenem,Sample_9270,Analyte,NA,2.48,0.302,4.389,0.766,NA,NA,NA,bb,10
2800,Meropenem,WaterBlank1a,Blank,NA,NA,20,NA,NA,NA,NA,NA,,10
2801,Meropenem,WaterBlank2a,Blank,NA,NA,20,1.47,NA,NA,NA,NA,,10
2802,Meropenem,Water_ABS_0,Standard,0,NA,NA,NA,NA,NA,NA,NA,,10
2803,Meropenem,Water_ABS_140,Standard,0.014,2.32,7.062,550.788,19.484,0,0.0178,127,bb,10
2804,Meropenem,Water_ABS_410,Standard,0.041,2.32,19.221,1909.762,64.837,0,0.0336,81.9,bb,10
2805,Meropenem,Water_ABS_1230,Standard,0.123,2.3,60.481,6116.334,152.132,0.001,0.088,71.5,bb,10
2806,Meropenem,Water_ABS_3700,Standard,0.37,2.3,255.298,18111.717,759.506,0.005,0.3573,96.6,bb,10
2807,Meropenem,Water_ABS_1000,Standard,1.1,2.32,1101.541,54593.277,3015.869,0.022,1.4756,134.1,bb,10
2808,Meropenem,Water_ABS_3000,Standard,3.3,2.32,1638.831,121166.555,2691.803,0.045,2.8966,87.8,bb,10
2809,Meropenem,Water_ABS_10000,Standard,10,2.32,8262.853,478028.531,6367.834,0.173,10.0787,100.8,bb,10
2810,Meropenem,WaterBlank1b,Blank,NA,NA,20,1313.47,NA,NA,NA,NA,,10
2811,Meropenem,WaterBlank2b,Blank,NA,NA,20,486.977,NA,NA,NA,NA,,10
2812,Meropenem,WaterBlank3b,Blank,NA,2.42,20,234.722,1.805,NA,NA,NA,bb,10
2813,Meropenem,Minus80aliquot,Analyte,NA,2.32,12625.392,519343,2916.948,NA,NA,NA,bb,10
2814,Meropenem,WaterBlank1A,Blank,NA,2.34,20,2660.226,21.42,NA,NA,NA,bb,10
2815,Meropenem,WaterBlank2A,Blank,NA,2.3,20,1321.138,14.925,NA,NA,NA,bb,10
2816,Meropenem,WaterBlank3A,Blank,NA,2.28,20,812.61,48.911,NA,NA,NA,bb,10
2817,Meropenem,Sample_11139,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,MM-,10
2818,Meropenem,Sample_3307,Analyte,NA,2.3,0.061,NA,0.555,NA,NA,NA,bb,10
2819,Meropenem,Sample_4517,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2820,Meropenem,Sample_3573,Analyte,NA,2.28,7.125,NA,16.976,NA,NA,NA,MM,10
2821,Meropenem,Sample_1163,Analyte,NA,NA,NA,23698.404,NA,NA,NA,NA,,10
2822,Meropenem,Sample_3331,Analyte,NA,2.36,0.167,1384.071,1.243,NA,NA,NA,bb,10
2823,Meropenem,Sample_6039,Analyte,NA,2.51,0.534,NA,1.392,NA,NA,NA,bb,10
2824,Meropenem,Sample_3548,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2825,Meropenem,Sample_3552,Analyte,NA,2.24,0.526,NA,1.241,NA,NA,NA,bb,10
2826,Meropenem,Sample_10359,Analyte,NA,2.18,0.766,NA,2.089,NA,NA,NA,bb,10
2827,Meropenem,WaterBlank4,Blank,NA,NA,20,NA,NA,NA,NA,NA,,10
2828,Meropenem,WaterBlank5,Blank,NA,NA,20,NA,NA,NA,NA,NA,,10
2829,Meropenem,Sample_10285,Analyte,NA,2.14,1.056,NA,1.865,NA,NA,NA,bb,10
2830,Meropenem,Sample_1033,Analyte,NA,2.22,0.646,NA,1.336,NA,NA,NA,bb,10
2831,Meropenem,Sample_1142,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2832,Meropenem,Sample_6080,Analyte,NA,2.48,0.073,NA,0.376,NA,NA,NA,bb,10
2833,Meropenem,Sample_1162,Analyte,NA,2.46,0.676,30301.533,1.793,NA,NA,NA,bb,10
2834,Meropenem,Sample_2157,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,MM-,10
2835,Meropenem,Sample_1035,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2836,Meropenem,Sample_3306,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2837,Meropenem,Sample_5329,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,MM-,10
2838,Meropenem,Sample_6283,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2839,Meropenem,WaterBlank6,Blank,NA,2.26,20,NA,0.416,NA,NA,NA,bb,10
2840,Meropenem,WaterBlank7,Blank,NA,NA,20,76.805,NA,NA,NA,NA,,10
2841,Meropenem,Sample_4512,Analyte,NA,2.2,2.438,3.639,1.745,NA,NA,NA,bb,10
2842,Meropenem,Sample_6248,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2843,Meropenem,Sample_4510,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2844,Meropenem,Sample_6082,Analyte,NA,2.24,0.262,0.155,1.293,NA,NA,NA,bb,10
2845,Meropenem,Sample_1056,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2846,Meropenem,Sample_10358,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2847,Meropenem,Sample_10333,Analyte,NA,NA,NA,0.171,NA,NA,NA,NA,MM-,10
2848,Meropenem,Sample_2137,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,MM-,10
2849,Meropenem,Sample_3110,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2850,Meropenem,Sample_8159,Analyte,NA,NA,NA,1.495,NA,NA,NA,NA,,10
2851,Meropenem,WaterBlank8,Blank,NA,NA,20,17.076,NA,NA,NA,NA,MM-,10
2852,Meropenem,WaterBlank9,Blank,NA,NA,20,111.692,NA,NA,NA,NA,,10
2853,Meropenem,Sample_5308,Analyte,NA,2.36,0.326,4.677,1.262,NA,NA,NA,bb,10
2854,Meropenem,Sample_5306,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2855,Meropenem,Sample_7138,Analyte,NA,2.44,0.815,1.419,0.653,NA,NA,NA,bb,10
2856,Meropenem,Sample_1058,Analyte,NA,NA,NA,0.52,NA,NA,NA,NA,,10
2857,Meropenem,Sample_3571,Analyte,NA,NA,NA,7.943,NA,NA,NA,NA,,10
2858,Meropenem,Sample_3112,Analyte,NA,NA,NA,0.577,NA,NA,NA,NA,,10
2859,Meropenem,WaterBlank10,Blank,NA,2.34,20,NA,1.635,NA,NA,NA,bb,10
2860,Meropenem,QC1_10uMPOOL,Analyte,NA,2.22,8280.357,1268538,12461.889,NA,NA,NA,bb,10
2861,Meropenem,WaterBlank11,Blank,NA,NA,20,584.487,NA,NA,NA,NA,,10
2862,Meropenem,WaterBlank12,Blank,NA,NA,20,77.761,NA,NA,NA,NA,,10
2863,Meropenem,Sample_11155,Analyte,NA,2.46,0.118,NA,0.698,NA,NA,NA,bb,10
2864,Meropenem,Sample_3334,Analyte,NA,2.24,1.174,NA,1.292,NA,NA,NA,bb,10
2865,Meropenem,Sample_3135,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2866,Meropenem,Sample_10334,Analyte,NA,NA,NA,1.768,NA,NA,NA,NA,MM-,10
2867,Meropenem,Sample_6246,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2868,Meropenem,Sample_2136,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2869,Meropenem,Sample_8157,Analyte,NA,2.34,0.644,NA,1.506,NA,NA,NA,bb,10
2870,Meropenem,Sample_11138,Analyte,NA,2.32,0.412,2.756,1.572,NA,NA,NA,bb,10
2871,Meropenem,Sample_8160,Analyte,NA,2.28,0.228,0.151,1.265,NA,NA,NA,bb,10
2872,Meropenem,Sample_3137,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,MM-,10
2873,Meropenem,WaterBlank14,Blank,NA,NA,20,NA,NA,NA,NA,NA,,10
2874,Meropenem,WaterBlank15,Blank,NA,NA,20,NA,NA,NA,NA,NA,,10
2875,Meropenem,Sample_1363,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2876,Meropenem,Sample_4489,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2877,Meropenem,Sample_6251,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2878,Meropenem,Sample_6042,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2879,Meropenem,Sample_1055,Analyte,NA,NA,NA,1.027,NA,NA,NA,NA,,10
2880,Meropenem,Sample_1059,Analyte,NA,2.2,0.322,0.322,1.215,NA,NA,NA,bb,10
2881,Meropenem,Sample_4495,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2882,Meropenem,Sample_9293,Analyte,NA,NA,NA,1.01,NA,NA,NA,NA,,10
2883,Meropenem,Sample_9296,Analyte,NA,NA,NA,0.697,NA,NA,NA,NA,,10
2884,Meropenem,Sample_10284,Analyte,NA,2.28,1.248,NA,0.962,NA,NA,NA,bb,10
2885,Meropenem,WaterBlank16,Blank,NA,NA,20,1.794,NA,NA,NA,NA,,10
2886,Meropenem,WaterBlank17,Blank,NA,NA,20,2.56,NA,NA,NA,NA,,10
2887,Meropenem,Sample_1360,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2888,Meropenem,Sample_6083,Analyte,NA,NA,NA,3.319,NA,NA,NA,NA,,10
2889,Meropenem,Sample_3305,Analyte,NA,2.26,1.035,NA,2.942,NA,NA,NA,bb,10
2890,Meropenem,Sample_10354,Analyte,NA,2.24,0.726,1.784,1.595,NA,NA,NA,bb,10
2891,Meropenem,Sample_8181,Analyte,NA,NA,NA,3.327,NA,NA,NA,NA,,10
2892,Meropenem,Sample_5324,Analyte,NA,NA,NA,0.815,NA,NA,NA,NA,,10
2893,Meropenem,Sample_9269,Analyte,NA,NA,NA,0.453,NA,NA,NA,NA,,10
2894,Meropenem,Sample_6081,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2895,Meropenem,Sample_7155,Analyte,NA,2.42,0.695,NA,1.418,NA,NA,NA,bb,10
2896,Meropenem,Sample_3335,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2897,Meropenem,WaterBlank18,Blank,NA,NA,20,6.988,NA,NA,NA,NA,,10
2898,Meropenem,WaterBlank19,Blank,NA,2.28,20,NA,1.763,NA,NA,NA,bb,10
2899,Meropenem,Sample_11141,Analyte,NA,2.44,0.167,9.635,0.743,NA,NA,NA,bb,10
2900,Meropenem,Sample_9291,Analyte,NA,2.24,1.25,NA,1.143,NA,NA,NA,bb,10
2901,Meropenem,Sample_1359,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2902,Meropenem,Sample_7139,Analyte,NA,2.36,0.775,NA,2.554,NA,NA,NA,bb,10
2903,Meropenem,Sample_4516,Analyte,NA,2.46,0.212,NA,0.554,NA,NA,NA,bb,10
2904,Meropenem,Sample_6084,Analyte,NA,2.38,1.388,NA,2.732,NA,NA,NA,bb,10
2905,Meropenem,Sample_3550,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2906,Meropenem,Sample_4493,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2907,Meropenem,Sample_6041,Analyte,NA,NA,NA,1.099,NA,NA,NA,NA,,10
2908,Meropenem,Sample_11159,Analyte,NA,2.46,1.068,0.53,2.066,NA,NA,NA,bb,10
2909,Meropenem,WaterBlank20,Blank,NA,2.14,20,0.948,1.749,NA,NA,NA,bb,10
2910,Meropenem,WaterBlank21,Blank,NA,NA,20,1.003,NA,NA,NA,NA,,10
2911,Meropenem,Sample_10332,Analyte,NA,NA,NA,2.326,NA,NA,NA,NA,,10
2912,Meropenem,Sample_11136,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2913,Meropenem,Sample_1361,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2914,Meropenem,Sample_2135,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2915,Meropenem,Sample_5305,Analyte,NA,2.3,0.294,0.881,1.078,NA,NA,NA,bb,10
2916,Meropenem,WaterBlank22,Blank,NA,2.44,20,5.749,1.814,NA,NA,NA,bb,10
2917,Meropenem,QC2_10uMPOOL,Analyte,NA,2.14,7561.201,775342.188,829.63,NA,NA,NA,bb,10
2918,Meropenem,WaterBlank23,Blank,NA,NA,20,156.471,NA,NA,NA,NA,,10
2919,Meropenem,WaterBlank24,Blank,NA,2.24,20,NA,1.473,NA,NA,NA,bb,10
2920,Meropenem,WaterBlank25,Blank,NA,2.34,20,NA,1.868,NA,NA,NA,bb,10
2921,Meropenem,Sample_2159,Analyte,NA,2.2,0.31,NA,1.252,NA,NA,NA,bb,10
2922,Meropenem,Sample_4491,Analyte,NA,2.32,0.09,NA,0.571,NA,NA,NA,bb,10
2923,Meropenem,Sample_3574,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
2924,Meropenem,Sample_1158,Analyte,NA,2.48,1.027,0.934,1.502,NA,NA,NA,bb,10
2925,Meropenem,Sample_3333,Analyte,NA,2.32,0.526,3.741,1.772,NA,NA,NA,bb,10
2926,Meropenem,Sample_8180,Analyte,NA,NA,NA,NA,NA,NA,NA,NA,,10
