Compound,#,Sample Text,Type,Std. Conc,RT,Area,IS Area,S/N,Response,Conc.,%Rec,Detection Flags,ExperimentDate,Analysis Date
Levofloxacind8,2,AcnBlank2,Blank,1,,,,,,,,,22719,41219
Levofloxacind8,3,WaterBlank3,Blank,1,,,,,,,,,22719,41219
Levofloxacind8,4,Water_ABS_0,Standard,1,2.83,80033.453,,1310.249,80033.453,0.8832,88.3,bb,22719,41219
Levofloxacind8,5,Water_ABS_140,Standard,1,2.81,93789.563,,2487.452,93789.563,1.035,103.5,bb,22719,41219
Levofloxacind8,6,Water_ABS_410,Standard,1,2.81,100555.258,,1642.343,100555.258,1.1097,111,bb,22719,41219
Levofloxacind8,7,Water_ABS_1230,Standard,1,2.81,83730.828,,1859.496,83730.828,0.924,92.4,bb,22719,41219
Levofloxacind8,8,Water_ABS_3700,Standard,1,2.81,125626.602,,2247.617,125626.602,1.3863,138.6,bb,22719,41219
Levofloxacind8,9,Water_ABS_1000,Standard,1,2.81,109531.508,,2078.885,109531.508,1.2087,120.9,bb,22719,41219
Levofloxacind8,10,Water_ABS_3000,Standard,1,2.81,68489,,1632.509,68489,0.7558,75.6,bb,22719,41219
Levofloxacind8,11,Water_ABS_10000,Standard,1,2.81,63191.914,,3344.741,63191.914,0.6973,69.7,bb,22719,41219
Levofloxacind8,12,WaterBlank4,Blank,1,2.83,295.494,,35.57,295.494,0.0033,0.3,bb,22719,41219
Levofloxacind8,13,AcnBlank5,Blank,1,2.77,200.195,,163.895,200.195,0.0022,0.2,bb,22719,41219
Levofloxacind8,14,WaterBlank6,Blank,1,2.81,17.52,,6.173,17.52,0.0002,0,bb,22719,41219
Levofloxacind8,15,PooledMucus_solventA_0,Analyte,1,2.81,57147.258,,10188.789,57147.258,0.6306,63.1,bb,22719,41219
Levofloxacind8,16,PooledMucus_solventA_14,Analyte,1,2.81,51809.441,,3101.614,51809.441,0.5717,57.2,bb,22719,41219
Levofloxacind8,17,PooledMucus_solventA_123,Analyte,1,2.81,45912.137,,1741.005,45912.137,0.5067,50.7,bb,22719,41219
Levofloxacind8,18,PooledMucus_solventA_3300,Analyte,1,2.81,35939.434,,2352.866,35939.434,0.3966,39.7,bb,22719,41219
Levofloxacind8,19,PooledMucus_solventA_10000,Analyte,1,2.81,36313.945,,2119.83,36313.945,0.4007,40.1,bb,22719,41219
Levofloxacind8,20,WaterBlank7,Blank,1,2.81,318.79,,31.078,318.79,0.0035,0.4,bb,22719,41219
Levofloxacind8,21,AcnBlank8,Blank,1,2.77,141.992,,18.566,141.992,0.0016,0.2,bb,22719,41219
Levofloxacind8,22,Waterblank9,Blank,1,2.95,16.554,,4.735,16.554,0.0002,0,bb,22719,41219
Levofloxacind8,23,PooledMucus_solventB_0,Analyte,1,2.79,67273.039,,2950.784,67273.039,0.7424,74.2,bb,22719,41219
Levofloxacind8,24,PooledMucus_solventB_14,Analyte,1,2.79,72552.203,,3672.109,72552.203,0.8006,80.1,bb,22719,41219
Levofloxacind8,25,PooledMucus_solventB_123,Analyte,1,2.79,57693.641,,1118.03,57693.641,0.6367,63.7,bb,22719,41219
Levofloxacind8,26,PooledMucus_solventB_3300,Analyte,1,2.79,61397.359,,1747.051,61397.359,0.6775,67.8,bb,22719,41219
Levofloxacind8,27,PooledMucus_solventB_10000,Analyte,1,2.79,37042.84,,2545.068,37042.84,0.4088,40.9,bb,22719,41219
Levofloxacind8,28,Waterblank10,Blank,1,2.77,111.886,,13.418,111.886,0.0012,0.1,bb,22719,41219
Levofloxacind8,29,AcnBlank11,Blank,1,2.73,53.65,,8.972,53.65,0.0006,0.1,bb,22719,41219
Levofloxacind8,30,WaterBlank12,Blank,1,,,,,,,,,22719,41219
Levofloxacind8,31,PooledMucus_solventC_0,Analyte,1,2.77,52798.707,,1716.12,52798.707,0.5826,58.3,bb,22719,41219
Levofloxacind8,32,PooledMucus_solventC_14,Analyte,1,2.77,61136.465,,714.225,61136.465,0.6747,67.5,bb,22719,41219
Levofloxacind8,33,PooledMucus_solventC_123,Analyte,1,2.77,56352.906,,1962.778,56352.906,0.6219,62.2,bb,22719,41219
Levofloxacind8,34,PooledMucus_solventC_3300,Analyte,1,2.75,58661.398,,2122.274,58661.398,0.6473,64.7,bb,22719,41219
Levofloxacind8,35,PooledMucus_solventC_10000,Analyte,1,2.77,47834.305,,1430.192,47834.305,0.5279,52.8,bb,22719,41219
Levofloxacind8,36,WaterBlank13,Blank,1,2.81,104.79,,24.358,104.79,0.0012,0.1,bb,22719,41219
Levofloxacind8,37,AcnBlank14,Blank,1,2.75,182.228,,198.569,182.228,0.002,0.2,bb,22719,41219
Levofloxacind8,38,WaterBlank15,Blank,1,2.81,15.456,,15.789,15.456,0.0002,0,bb,22719,41219
Levofloxacind8,39,Minus80Aliquot,Analyte,1,2.79,14.259,,13.708,14.259,0.0002,0,bb,22719,41219
Levofloxacind8,40,WaterBlank16,Blank,1,,,,,,,,,22719,41219
Levofloxacind8,41,AcnBlank17,Blank,1,2.75,54.09,,104.39,54.09,0.0006,0.1,bb,22719,41219
Levofloxacind8,42,WaterBlank8,Blank,1,2.77,5.308,,4.225,5.308,0.0001,0,bb,22719,41219
 Amoxicillin,1,WaterBlank1,Blank,,1.14,1.745,1.814,1.921,0.962,36.7179,,bb,22719,41219
 Amoxicillin,2,AcnBlank2,Blank,,1.1,0.648,,2.069,,,,bb,22719,41219
 Amoxicillin,3,WaterBlank3,Blank,,,,,,,,,,22719,41219
 Amoxicillin,4,Water_ABS_0,Standard,0,1.16,0.86,80033.453,1.598,0,0.0007,,bb,22719,41219
 Amoxicillin,5,Water_ABS_140,Standard,0.014,1.1,13.517,93789.563,10.596,0,0.0253,180.8,bb,22719,41219
 Amoxicillin,6,Water_ABS_410,Standard,0.041,1.1,9.557,100555.258,29.184,0,0.0163,39.7,bb,22719,41219
 Amoxicillin,7,Water_ABS_1230,Standard,0.123,1.1,65.753,83730.828,172.407,0.001,0.1419,115.4,bb,22719,41219
 Amoxicillin,8,Water_ABS_3700,Standard,0.37,1.1,182.115,125626.602,412.548,0.001,0.2599,70.2,bb,22719,41219
 Amoxicillin,9,Water_ABS_1000,Standard,1.1,1.1,575.629,109531.508,697.194,0.005,0.8885,80.8,bb,22719,41219
 Amoxicillin,10,Water_ABS_3000,Standard,3.3,1.1,1829.119,68489,1358.461,0.027,3.5901,108.8,bb,22719,41219
 Amoxicillin,11,Water_ABS_10000,Standard,10,1.08,6948.725,63191.914,3917.944,0.11,9.9571,99.6,bb,22719,41219
 Amoxicillin,12,WaterBlank4,Blank,,1.06,0.856,295.494,1.1,0.003,0.5078,,bb,22719,41219
 Amoxicillin,13,AcnBlank5,Blank,,,,200.195,,,,,,22719,41219
 Amoxicillin,14,WaterBlank6,Blank,,,,17.52,,,,,,22719,41219
 Amoxicillin,15,PooledMucus_solventA_0,Analyte,,0.94,6.316,57147.258,6.99,0,0.0191,,bb,22719,41219
 Amoxicillin,16,PooledMucus_solventA_14,Analyte,,,,51809.441,,,,,,22719,41219
 Amoxicillin,17,PooledMucus_solventA_123,Analyte,,1.08,10.479,45912.137,2.177,0,0.0408,,bb,22719,41219
 Amoxicillin,18,PooledMucus_solventA_3300,Analyte,,1.1,211.936,35939.434,480.93,0.006,0.9877,,bb,22719,41219
 Amoxicillin,19,PooledMucus_solventA_10000,Analyte,,1.1,1483.96,36313.945,201.328,0.041,4.9711,,bb,22719,41219
 Amoxicillin,20,WaterBlank7,Blank,,1.12,0.085,318.79,0.449,0,0.0478,,bb,22719,41219
 Amoxicillin,21,AcnBlank8,Blank,,,,141.992,,,,,,22719,41219
 Amoxicillin,22,Waterblank9,Blank,,,,16.554,,,,,,22719,41219
 Amoxicillin,23,PooledMucus_solventB_0,Analyte,,0.96,0.228,67273.039,0.057,0,0,,bbI,22719,41219
 Amoxicillin,24,PooledMucus_solventB_14,Analyte,,,,72552.203,,,,,,22719,41219
 Amoxicillin,25,PooledMucus_solventB_123,Analyte,,1.2,0.933,57693.641,0.552,0,0.0017,,bb,22719,41219
 Amoxicillin,26,PooledMucus_solventB_3300,Analyte,,1.04,393.341,61397.359,224.624,0.006,1.0653,,bb,22719,41219
 Amoxicillin,27,PooledMucus_solventB_10000,Analyte,,1,2134.833,37042.84,308.408,0.058,6.3876,,bb,22719,41219
 Amoxicillin,28,Waterblank10,Blank,,1.16,0.314,111.886,0.854,0.003,0.4926,,bb,22719,41219
 Amoxicillin,29,AcnBlank11,Blank,,1.26,0.707,53.65,0.559,0.013,2.0128,,bb,22719,41219
 Amoxicillin,30,WaterBlank12,Blank,,0.94,0.265,,0.153,,,,bb,22719,41219
 Amoxicillin,31,PooledMucus_solventC_0,Analyte,,,,52798.707,,,,,,22719,41219
 Amoxicillin,32,PooledMucus_solventC_14,Analyte,,,,61136.465,,,,,,22719,41219
 Amoxicillin,33,PooledMucus_solventC_123,Analyte,,,,56352.906,,,,,,22719,41219
 Amoxicillin,34,PooledMucus_solventC_3300,Analyte,,0.98,30.129,58661.398,4.792,0.001,0.0928,,bb,22719,41219
 Amoxicillin,35,PooledMucus_solventC_10000,Analyte,,1.06,448.522,47834.305,48.441,0.009,1.4985,,bb,22719,41219
 Amoxicillin,36,WaterBlank13,Blank,,,,104.79,,,,,,22719,41219
 Amoxicillin,37,AcnBlank14,Blank,,1.06,0.581,182.228,0.153,0.003,0.5563,,bb,22719,41219
 Amoxicillin,38,WaterBlank15,Blank,,,,15.456,,,,,,22719,41219
 Amoxicillin,39,Minus80Aliquot,Analyte,,1.08,5267.085,14.259,782.055,369.387,802.8561,,bb,22719,41219
 Amoxicillin,40,WaterBlank16,Blank,,,,,,,,,,22719,41219
 Amoxicillin,41,AcnBlank17,Blank,,,,54.09,,,,,,22719,41219
 Amoxicillin,42,WaterBlank8,Blank,,0.98,0.55,5.308,0.186,0.104,9.5717,,bb,22719,41219
Ampicillin,1,WaterBlank1,Blank,,,,1.814,,,,,,22719,41219
Ampicillin,2,AcnBlank2,Blank,,3.08,1.79,,1.668,,,,bb,22719,41219
Ampicillin,3,WaterBlank3,Blank,,3.26,0.014,,0.417,,,,bb,22719,41219
Ampicillin,4,Water_ABS_0,Standard,0,3.18,0.2,80033.453,0.61,0,0.0076,,bb,22719,41219
Ampicillin,5,Water_ABS_140,Standard,0.014,3.06,19.592,93789.563,84.186,0,0.0195,139.2,bb,22719,41219
Ampicillin,6,Water_ABS_410,Standard,0.041,3.08,26.598,100555.258,55.865,0,0.0227,55.3,bb,22719,41219
Ampicillin,7,Water_ABS_1230,Standard,0.123,3.06,138.307,83730.828,19.478,0.002,0.1017,82.7,bb,22719,41219
Ampicillin,8,Water_ABS_3700,Standard,0.37,3.1,546.713,125626.602,226.005,0.004,0.2524,68.2,bb,22719,41219
Ampicillin,9,Water_ABS_1000,Standard,1.1,3.1,2152.036,109531.508,677.62,0.02,1.04,94.5,bb,22719,41219
Ampicillin,10,Water_ABS_3000,Standard,3.3,3.1,5492.292,68489,5597.477,0.08,3.5,106.1,bb,22719,41219
Ampicillin,11,Water_ABS_10000,Standard,10,3.1,20955.936,63191.914,18496.284,0.332,9.9667,99.7,bb,22719,41219
Ampicillin,12,WaterBlank4,Blank,,,,295.494,,,,,,22719,41219
Ampicillin,13,AcnBlank5,Blank,,3.1,0.426,200.195,1.976,0.002,0.1286,,bb,22719,41219
Ampicillin,14,WaterBlank6,Blank,,3.18,0.685,17.52,2.33,0.039,1.9207,,bb,22719,41219
Ampicillin,15,PooledMucus_solventA_0,Analyte,,3.08,2.976,57147.258,11.584,0,0.0105,,bb,22719,41219
Ampicillin,16,PooledMucus_solventA_14,Analyte,,,,51809.441,,,,,,22719,41219
Ampicillin,17,PooledMucus_solventA_123,Analyte,,3.1,19.853,45912.137,70.702,0,0.0323,,bb,22719,41219
Ampicillin,18,PooledMucus_solventA_3300,Analyte,,3.1,1240.039,35939.434,4312.504,0.035,1.7224,,bb,22719,41219
Ampicillin,19,PooledMucus_solventA_10000,Analyte,,3.1,4759.566,36313.945,13517.829,0.131,5.133,,bb,22719,41219
Ampicillin,20,WaterBlank7,Blank,,3.1,1.468,318.79,3.477,0.005,0.2663,,bb,22719,41219
Ampicillin,21,AcnBlank8,Blank,,2.99,0.141,141.992,0.995,0.001,0.0643,,bb,22719,41219
Ampicillin,22,Waterblank9,Blank,,3.04,0.595,16.554,1.89,0.036,1.7851,,bb,22719,41219
Ampicillin,23,PooledMucus_solventB_0,Analyte,,,,67273.039,,,,,,22719,41219
Ampicillin,24,PooledMucus_solventB_14,Analyte,,3.2,0.754,72552.203,1.469,0,0.0081,,bb,22719,41219
Ampicillin,25,PooledMucus_solventB_123,Analyte,,3.06,28.519,57693.641,71.352,0,0.0359,,bb,22719,41219
Ampicillin,26,PooledMucus_solventB_3300,Analyte,,3.08,604.259,61397.359,2029.905,0.01,0.547,,bb,22719,41219
Ampicillin,27,PooledMucus_solventB_10000,Analyte,,3.08,2487.246,37042.84,3525.254,0.067,3.0306,,bb,22719,41219
Ampicillin,28,Waterblank10,Blank,,3.2,0.839,111.886,1.926,0.007,0.4231,,bb,22719,41219
Ampicillin,29,AcnBlank11,Blank,,,,53.65,,,,,,22719,41219
Ampicillin,30,WaterBlank12,Blank,,,,,,,,,,22719,41219
Ampicillin,31,PooledMucus_solventC_0,Analyte,,2.91,0.379,52798.707,1.329,0,0.0079,,bb,22719,41219
Ampicillin,32,PooledMucus_solventC_14,Analyte,,,,61136.465,,,,,,22719,41219
Ampicillin,33,PooledMucus_solventC_123,Analyte,,3.06,31.469,56352.906,82.913,0.001,0.0395,,bb,22719,41219
Ampicillin,34,PooledMucus_solventC_3300,Analyte,,3.04,1060.668,58661.398,1396.578,0.018,0.9638,,bb,22719,41219
Ampicillin,35,PooledMucus_solventC_10000,Analyte,,3.04,2990.509,47834.305,279.864,0.063,2.8577,,bb,22719,41219
Ampicillin,36,WaterBlank13,Blank,,3.14,0.503,104.79,1.313,0.005,0.277,,bb,22719,41219
Ampicillin,37,AcnBlank14,Blank,,,,182.228,,,,,,22719,41219
Ampicillin,38,WaterBlank15,Blank,,,,15.456,,,,,,22719,41219
Ampicillin,39,Minus80Aliquot,Analyte,,3.08,11615.669,14.259,6844.72,814.62,708.4587,,bb,22719,41219
Ampicillin,40,WaterBlank16,Blank,,3.1,2.316,,5.717,,,,bb,22719,41219
Ampicillin,41,AcnBlank17,Blank,,3.1,4.22,54.09,11.181,0.078,3.4235,,bb,22719,41219
Ampicillin,42,WaterBlank8,Blank,,,,5.308,,,,,,22719,41219
Azithromycin,1,WaterBlank1,Blank,,3.36,0.457,1.814,1.086,0.252,3.7988,,bb,22719,41219
Azithromycin,2,AcnBlank2,Blank,,,,,,,,,,22719,41219
Azithromycin,3,WaterBlank3,Blank,,,,,,,,,,22719,41219
Azithromycin,4,Water_ABS_0,Standard,0,,,80033.453,,,,,,22719,41219
Azithromycin,5,Water_ABS_140,Standard,0.014,3.38,67.52,93789.563,16.722,0.001,0.0288,205.7,bb,22719,41219
Azithromycin,6,Water_ABS_410,Standard,0.041,3.38,10.501,100555.258,70.133,0,0.019,46.2,bb,22719,41219
Azithromycin,7,Water_ABS_1230,Standard,0.123,3.38,467.74,83730.828,547.772,0.006,0.1065,86.5,bb,22719,41219
Azithromycin,8,Water_ABS_3700,Standard,0.37,3.38,2095.152,125626.602,7847.804,0.017,0.2827,76.4,bb,22719,41219
Azithromycin,9,Water_ABS_1000,Standard,1.1,3.38,5149.055,109531.508,2133.4,0.047,0.7593,69,bb,22719,41219
Azithromycin,10,Water_ABS_3000,Standard,3.3,3.38,17551.643,68489,1975.941,0.256,3.8602,117,bb,22719,41219
Azithromycin,11,Water_ABS_10000,Standard,10,3.38,45578.352,63191.914,5820.517,0.721,9.8767,98.8,bb,22719,41219
Azithromycin,12,WaterBlank4,Blank,,3.32,7.987,295.494,5.489,0.027,0.4462,,bb,22719,41219
Azithromycin,13,AcnBlank5,Blank,,,,200.195,,,,,,22719,41219
Azithromycin,14,WaterBlank6,Blank,,3.38,2.825,17.52,6.767,0.161,2.4899,,bb,22719,41219
Azithromycin,15,PooledMucus_solventA_0,Analyte,,3.28,0.11,57147.258,0.95,0,0.0173,,bb,22719,41219
Azithromycin,16,PooledMucus_solventA_14,Analyte,,3.38,14.733,51809.441,38.334,0,0.0218,,bb,22719,41219
Azithromycin,17,PooledMucus_solventA_123,Analyte,,3.38,70.045,45912.137,139.533,0.002,0.0417,,bb,22719,41219
Azithromycin,18,PooledMucus_solventA_3300,Analyte,,3.38,4825.451,35939.434,6.551,0.134,2.0898,,bb,22719,41219
Azithromycin,19,PooledMucus_solventA_10000,Analyte,,3.38,17287.635,36313.945,1422.074,0.476,6.8299,,bb,22719,41219
Azithromycin,20,WaterBlank7,Blank,,,,318.79,,,,,,22719,41219
Azithromycin,21,AcnBlank8,Blank,,3.36,5.051,141.992,7.132,0.036,0.5805,,bb,22719,41219
Azithromycin,22,Waterblank9,Blank,,3.32,0.09,16.554,0.837,0.005,0.1041,,bb,22719,41219
Azithromycin,23,PooledMucus_solventB_0,Analyte,,3.36,3.178,67273.039,9.964,0,0.018,,bb,22719,41219
Azithromycin,24,PooledMucus_solventB_14,Analyte,,3.38,16.868,72552.203,41.395,0,0.021,,bb,22719,41219
Azithromycin,25,PooledMucus_solventB_123,Analyte,,3.38,112.826,57693.641,4.863,0.002,0.0485,,bb,22719,41219
Azithromycin,26,PooledMucus_solventB_3300,Analyte,,,,61397.359,,,,,,22719,41219
Azithromycin,27,PooledMucus_solventB_10000,Analyte,,3.38,8176.096,37042.84,1211.101,0.221,3.3543,,bb,22719,41219
Azithromycin,28,Waterblank10,Blank,,3.38,2.785,111.886,8.334,0.025,0.4125,,bb,22719,41219
Azithromycin,29,AcnBlank11,Blank,,3.57,0.565,53.65,1.655,0.011,0.1852,,bb,22719,41219
