Sample Text,Number,Area,Compound
Sample_5305,69,771441,Levofloxacind8
Sample_13354,70,499348,Levofloxacind8
Sample_11181,71,576591,Levofloxacind8
Sample_8324,72,596771,Levofloxacind8
Sample_12269,73,913506,Levofloxacind8
Sample_9081,74,1091449,Levofloxacind8
Sample_10155,75,585812,Levofloxacind8
Sample_5335,76,895919,Levofloxacind8
Sample_15141,77,473552,Levofloxacind8
Sample_12291,78,967532,Levofloxacind8
Sample_1359,79,521741,Levofloxacind8
Sample_10139,80,630361,Levofloxacind8
Sample_6516,81,634968,Levofloxacind8
Sample_9084,82,1078175,Levofloxacind8
Sample_5550,83,955920,Levofloxacind8
Sample_6493,84,575352,Levofloxacind8
Sample_9041,85,901100,Levofloxacind8
Sample_15159,86,499670,Levofloxacind8
Sample_13332,87,632558,Levofloxacind8
Sample_15136,88,538919,Levofloxacind8
Sample_1361,89,431448,Levofloxacind8
Sample_4135,90,986515,Levofloxacind8
Sample_8305,91,624331,Levofloxacind8
Sample_4159,92,871863,Levofloxacind8
Sample_6491,93,305621,Levofloxacind8
Sample_5574,94,946735,Levofloxacind8
Sample_1158,95,293122,Levofloxacind8
Sample_5333,96,741738,Levofloxacind8
Sample_11180,97,424726,Levofloxacind8
Sample_13357,100,514702,Levofloxacind8
Sample_15140,101,717864,Levofloxacind8
Sample_15134,102,550705,Levofloxacind8
Sample_8304,103,859469,Levofloxacind8
Sample_11185,104,444655,Levofloxacind8
Sample_15158,105,737040,Levofloxacind8
Sample_13288,106,473321,Levofloxacind8
Sample_1034,107,526141,Levofloxacind8
Sample_9284,108,1036460,Levofloxacind8
Sample_4139,109,560554,Levofloxacind8
Sample_1159,110,356339,Levofloxacind8
Sample_5336,111,761947,Levofloxacind8
Sample_1160,112,224797,Levofloxacind8
Sample_1362,113,509431,Levofloxacind8
Sample_8330,114,366107,Levofloxacind8
Sample_11186,115,479398,Levofloxacind8
Sample_5572,116,794552,Levofloxacind8
Sample_13283,117,528086,Levofloxacind8
Sample_8331,118,629955,Levofloxacind8
Sample_1038,119,587254,Levofloxacind8
Sample_6496,120,389780,Levofloxacind8
Sample_5551,121,951826,Levofloxacind8
Sample_13356,122,487520,Levofloxacind8
Sample_5549,123,886279,Levofloxacind8
Sample_12267,124,932063,Levofloxacind8
Sample_9282,125,974423,Levofloxacind8
Sample_1161,126,498700,Levofloxacind8
Sample_6490,127,579980,Levofloxacind8
Sample_1054,128,530401,Levofloxacind8
Sample_15162,129,716088,Levofloxacind8
Sample_5113,130,943207,Levofloxacind8
Sample_4155,131,573963,Levofloxacind8
Sample_9043,132,996314,Levofloxacind8
Sample_1140,133,316362,Levofloxacind8
Sample_5136,134,899075,Levofloxacind8
Sample_5570,135,928956,Levofloxacind8
Sample_8325,136,604421,Levofloxacind8
Sample_11162,137,868562,Levofloxacind8
Sample_4140,138,637097,Levofloxacind8
Sample_11187,139,583775,Levofloxacind8
Sample_9250,140,800132,Levofloxacind8
Sample_12294,141,869442,Levofloxacind8
Sample_6515,142,664884,Levofloxacind8
Sample_4138,143,677265,Levofloxacind8
Sample_13355,144,542036,Levofloxacind8
Sample_9285,145,759885,Levofloxacind8
Sample_6494,146,461344,Levofloxacind8
Sample_5332,147,947471,Levofloxacind8
Sample_5138,148,840554,Levofloxacind8
Sample_9247,149,906805,Levofloxacind8
Sample_10159,150,525618,Levofloxacind8
Sample_13286,151,736587,Levofloxacind8
Sample_4156,152,519131,Levofloxacind8
Sample_6513,153,782139,Levofloxacind8
Sample_9040,154,969037,Levofloxacind8
Sample_11182,155,511310,Levofloxacind8
Sample_9038,156,568540,Levofloxacind8
Sample_1310,157,547361,Levofloxacind8
Sample_4158,158,868203,Levofloxacind8
Sample_10141,159,455926,Levofloxacind8
Sample_8303,160,883829,Levofloxacind8
Sample_5575,161,961327,Levofloxacind8
Sample_5111,162,836948,Levofloxacind8
Sample_12292,163,916776,Levofloxacind8
Sample_9286,164,951067,Levofloxacind8
Sample_11158,165,900193,Levofloxacind8
Sample_1137,166,370498,Levofloxacind8
